shift_hour,Amplitude_Column1,Amplitude_Column2,Amplitude_Column3,StdDev_Column1,StdDev_Column2,StdDev_Column3
-12,25.113223299931917,22.863462334710633,1.9999999754409319,5.235604228704762,5.006959027720733,0.7071480654674794
-11,24.983244888887736,22.874477128613975,1.999999960871714,5.1734932497150385,5.021960722878436,0.707043642491974
-10,25.025643607377035,22.79035174604606,1.9999999871200596,5.141788204069505,4.912636505665058,0.7069386270814161
-9,25.033834505378067,22.698695733936127,1.999999996416178,5.0716346197447955,4.848136924682225,0.7069462038714234
-8,24.611515843984613,22.726000096283006,1.9999999548545677,4.98335926649682,4.802782188722638,0.7071384190146447
-7,25.03417748516342,22.76767493816618,1.9999999589480497,5.0512094516899,4.85202420858897,0.706986106608292
-6,25.008109152949878,22.933035601864972,1.9999999967710678,4.989704138765694,4.830120862332752,0.70714198057443
-5,25.074122554540804,22.89924444405704,1.9999999655608875,4.930078971563575,4.8024341010323495,0.707190425233559
-4,25.073156602016915,22.825928857832174,1.9999994790519904,4.993404076948068,4.885888766290908,0.7074849063377053
-3,25.082618248141607,22.910961309325067,1.999999947264346,4.862926331528605,4.739095889247606,0.7073583422051264
-2,24.988206995942996,22.89126992874753,1.9999999449243613,5.0592545183811835,4.925012038227562,0.7073359554921542
-1,25.08688602525884,22.89325342299348,1.99999993992253,5.138510412198083,4.951149629761117,0.7072491276430108
0,25.064430728254695,22.918225268419228,1.9999999347304729,5.190692439631561,4.981113327531744,0.7071480664739319
1,25.086573479929477,22.85150935427854,1.9999998422807728,5.188524487411732,4.957775214003797,0.7070434059444669
2,25.056498362698473,22.803600503658675,1.9999999871200596,4.954949493921252,4.7948945442462,0.7069813444940314
3,24.998821744028568,22.944180835924776,1.9999995713105245,5.045587156293491,4.876347712666228,0.7069464122856151
4,25.039439515124464,22.88221351842565,1.9999999791975005,5.141766920966806,4.931559081423181,0.7071383916996828
5,25.157127967030025,22.936134500088304,1.9999999589480497,5.160514542890694,5.004296679743009,0.7069861786176839
6,24.84646067603092,22.609459170680978,1.9999999906702992,5.035062080630984,4.901882956935936,0.7071419781731494
7,25.028201413640467,22.901034732673704,1.9999999108293554,4.8806599610967885,4.762215600750611,0.7071904221369086
8,25.085317289411172,22.94312883013577,1.9999996206637989,5.0545417490173685,4.970332704515542,0.7074850732600343
9,25.057404855807057,22.89608743751115,1.999999855888141,5.028920886432064,4.848386223432241,0.7073584552380694
10,24.811601318872626,22.879526919415888,1.9999999759428357,5.057196275286362,4.875380544006993,0.7073361270493684
11,24.946898857160516,22.780656307000168,1.99999993992253,5.070051111579407,4.877122719800197,0.707248912317892
12,25.052955706801413,22.76149863764919,1.9999999754409314,5.048535324346255,4.874245542515326,0.7071480654674794
