time,M,FC,FN,Ap(t)
0.0,0.1,0.1,0.1,0.0
0.01000040001600064,0.10714350588889242,0.0946383104151676,0.09988681327077677,0.0002618095611003174
0.02000080003200128,0.11426046021765686,0.08952651839225972,0.09974819865319687,0.0005236173276436561
0.03000120004800192,0.12135615616618302,0.08466260433862491,0.09958554924954922,0.000785421505085338
0.04000160006400256,0.12843560202427864,0.08004398909679646,0.09940023837186734,0.0010472202989052863
0.050002000080003196,0.1355035324022345,0.0756675187653952,0.0991936168295093,0.0013090119146203262
0.06000240009600384,0.14256441865909902,0.07152945805644742,0.09896701017826931,0.001570794557796484
0.07000280011200448,0.149622478681303,0.06762549284305645,0.09872171597554386,0.0018325664340612887
0.08000320012800512,0.15668168613010466,0.06395074227522303,0.09845900108839843,0.00209432574911607
0.09000360014400575,0.16374577926200906,0.06049978052673357,0.09818009910221182,0.0023560707087482563
0.10000400016000639,0.1708182694119461,0.057266667899542774,0.09788620787676822,0.002617799518843677
0.11000440017600703,0.17790244921472723,0.05424499067409,0.09757848729417651,0.0028795103853988552
0.12000480019200768,0.18500140062634957,0.05142790877585369,0.09725805723887515,0.003141201514533309
0.13000520020800832,0.19211800279332467,0.048808210050695695,0.09692599584439177,0.0034028711125018416
0.14000560022400896,0.19925493980561856,0.046378369721860706,0.0965833380347244,0.003664517385706844
0.1500060002400096,0.20641470835724124,0.0441306134529626,0.09623107438052811,0.003926138540710585
0.16000640025601023,0.21359962532821325,0.04205698237120169,0.09587015028210608,0.0041877327842475024
0.17000680027201087,0.22081183529272208,0.04014939841439494,0.09550146548291978,0.0044492983232364966
0.1800072002880115,0.22805331795085593,0.0383997284490656,0.0951258739093317,0.004710833364793225
0.19000760030401215,0.23532589547540123,0.03679984575453544,0.09474418382492394,0.004972336116242386
0.20000800032001279,0.24263123976078968,0.03534168766559782,0.09435715828127655,0.005233804785130007
0.21000840033601342,0.24997087955829742,0.03401730839767307,0.09396551584174552,0.005495237579235732
0.22000880035201406,0.25734620747990816,0.032818926326639554,0.09356993155067019,0.005756632706585111
0.2300092003680147,0.2647584868526968,0.031738965245093786,0.09317103811760205,0.006017988375461872
0.24000960038401536,0.2722088584059874,0.030770089354104142,0.09276942728454386,0.006279302794420215
0.250010000400016,0.2796983467747002,0.02990523196399282,0.09236565134372492,0.006540574172297077
0.26001040041601664,0.2872278668040469,0.029137618061972473,0.09196022477397436,0.0068018007182244255
0.27001080043201725,0.29479822964286884,0.02846078105444933,0.09155362596512093,0.00706298064164152
0.2800112004480179,0.3024101486153048,0.027868574106233748,0.09114629900186509,0.007324112152307195
0.2900116004640185,0.31006424486295797,0.027355176578891964,0.09073865548105914,0.007585193460312125
0.3000120004800192,0.317761052752221,0.026915096118914753,0.09033107633912313,0.007846222776091096
0.3100124004960198,0.3255010250437956,0.02654316696732148,0.0899239136692723,0.008107198310435269
0.32001280051202047,0.3332845378236687,0.026234545060428275,0.08951749251120601,0.008368118274504453
0.33001320052802113,0.34111189519681323,0.025984700471614983,0.08911211259880981,0.00862898087983935
0.34001360054402174,0.34898333374665574,0.025789407710667275,0.08870805005417072,0.008889784338373832
0.3500140005600224,0.35689902676487284,0.025644734354862992,0.08830555901874867,0.009150526862447187
0.360014400576023,0.36485908825734725,0.025547028438060525,0.08790487321484758,0.009411206664816376
0.3700148005920237,0.37286357673314274,0.025492904973647663,0.08750620743257032,0.009671821958668274
0.3800152006080243,0.38091249878415145,0.025479231936704767,0.08710975893921792,0.009932370957631935
0.39001560062402496,0.3890058124636608,0.025503115981918026,0.08671570880961091,0.01019285187579082
0.40001600064002557,0.39714343047248557,0.025561888127914538,0.08632422317708215,0.010453262927695052
0.41001640065602624,0.40532522316155345,0.025653089596602792,0.08593545440593575,0.010713602328373643
0.42001680067202685,0.4135510213599266,0.025774457958249623,0.08554954218700538,0.010973868293346739
0.4300172006880275,0.421820619037225,0.02592391369958394,0.08516661455860168,0.011234059038637839
0.4400176007040281,0.4301337758092963,0.02609954730315223,0.08478678885563569,0.01149417278078603
0.4500180007200288,0.43849021929578186,0.026299606901273778,0.08441017259006385,0.011754207736858228
0.4600184007360294,0.4468896473379678,0.026522486546966702,0.08403686426604379,0.01201416212446136
0.47001880075203006,0.45533173008500605,0.02676671512679254,0.08366695413333601,0.012274034161754623
0.48001920076803073,0.46381611195624867,0.027030945926320087,0.08330052488255305,0.01253382206746167
0.49001960078403134,0.47234241348707817,0.027313946847457533,0.0829376522858596,0.01279352406088283
0.500020000800032,0.4809102330652388,0.027614591267874338,0.08257840578667885,0.013053138361907314
0.5100204008160326,0.48951914856429246,0.02793184952578127,0.08222284904187163,0.01331266319102541
0.5200208008320333,0.4981687188804425,0.028264781008138187,0.08187104041973722,0.013572096769340694
0.530021200848034,0.5068584853785917,0.02861252681662474,0.08152303345704599,0.013831437318582208
0.5400216008640345,0.5155879732531344,0.028974302983183375,0.08117887727815921,0.014090683061116658
0.5500220008800352,0.52435669280863,0.02934939420540266,0.08083861697912939,0.014349832219960596
0.5600224008960358,0.5331641406651625,0.029737148071258847,0.0805022939795057,0.014608883018792604
0.5700228009120365,0.5420098008928732,0.03013696974260992,0.08016994634440143,0.014867833681965462
0.580023200928037,0.5508931460798396,0.03054831706719949,0.07984160907921216,0.015126682434518325
0.5900236009440377,0.5598136383371922,0.030970696089661926,0.07951731439921071,0.015385427502188888
0.6000240009600384,0.5687707302450841,0.03140365693302802,0.07919709197608682,0.015644067111425543
0.610024400976039,0.5777638657428782,0.03184679002343383,0.07888096916334751,0.015902599489399556
