time,x,y,z,P
0.0,1.0,1.0,1.0,0.0
0.10000398422247898,0.814356098837879,1.1116472156038266,0.6349442469829041,0.009983738096399776
0.20000796844495797,0.6487865827585393,1.2079065545664236,0.402015912690441,0.019867714039533444
0.30001195266743697,0.4939050771634463,1.2899857307417493,0.25632479400539,0.02955316254595743
0.40001593688991594,0.3440128526590777,1.358365285756736,0.16667212669496154,0.03894330211068641
0.5000199211123949,0.19594987908483327,1.4130960050905925,0.11224813665230067,0.047944302092992296
0.6000239053348739,0.048246453308427105,1.4540015527778685,0.07956858020932385,0.05646622031579546
0.7000278895573528,-0.09946822092208382,1.480812959620609,0.060090790619992784,0.06442390180971913
0.8000318737798319,-0.24686460862364576,1.493256327659695,0.04850630551974038,0.07173782972113855
0.9000358580023109,-0.3931760345869206,1.4911092904711796,0.04157481044454292,0.07833491988155579
1.0000398422247898,-0.5373705930006256,1.4742369381882217,0.03735241841262633,0.08414925109859389
1.1000438264472687,-0.6782632166969372,1.4426143339665647,0.034692978994361,0.08912272387120294
1.2000478106697479,-0.8145893739008295,1.3963402430533673,0.032932367542902206,0.09320564094688942
1.3000517948922268,-0.9450546166846242,1.3356450062187182,0.03169243670953931,0.09635720391977122
1.4000557791147057,-1.0683691738309165,1.26089438113033,0.030761581181720902,0.09854592090721957
1.5000597633371848,-1.1832733885440496,1.1725904658846218,0.030023373344450942,0.0997499212313932
1.6000637475596637,-1.2885575684499866,1.0713703759674509,0.029414757781032103,0.09995717396122071
1.7000677317821427,-1.3830783776473532,0.9580030769477474,0.028902051265190253,0.09916560813105796
1.8000717160046218,-1.4657729953980176,0.8333846173733045,0.02846744547571583,0.09738313343473967
1.9000757002271007,-1.5356717093937196,0.6985319179298757,0.028101574206918823,0.09462756118824092
2.0000796844495796,-1.5919092778807014,0.554575226875738,0.02779950785636904,0.09092642635072595
2.1000836686720588,-1.6337352007311847,0.4027493309042875,0.027558643348915248,0.08631671238243316
2.2000876528945374,-1.6605229306325995,0.2443836042694291,0.02737761966817676,0.08084448168874393
2.3000916371170166,-1.671777997688874,0.0808909807716409,0.027255776026394857,0.07456441534321002
2.4000956213394957,-1.6671449928326336,-0.08624406079744378,0.0271928903368201,0.0675392666888414
2.5000996055619744,-1.6464133449101386,-0.2554783991692715,0.027189058507020393,0.05983923427752385
2.6001035897844536,-1.60952182573989,-0.42522395382671674,0.027244641884770354,0.05154126041344786
2.7001075740069327,-1.5565617226350532,-0.5938620331238781,0.027360245673592225,0.04272826230982889
2.8001115582294114,-1.4877786264381574,-0.759758223431889,0.027536709515519498,0.03348830354155824
2.9001155424518905,-1.4035727937097107,-0.9212776882151927,0.02777510068120881,0.023913714073015124
3.0001195266743697,-1.3044980535835358,-1.0768007397057047,0.02807670476186694,0.014100167654131504
3.1001235108968483,-1.1912592425027206,-1.22473854072309,0.028443010741851554,0.0041457258037966085
3.2001274951193275,-1.064708163293644,-1.3635487902789856,0.028875688053620584,-0.0058501420664363035
3.3001314793418066,-0.9258380786147082,-1.4917512439697918,0.029376553296160852,-0.01578755259696088
3.4001354635642853,-0.7757767625634764,-1.607942918857665,0.02994752404789272,-0.02556720656109044
3.5001394477867644,-0.6157781479921717,-1.7108128325987366,0.030590556788853595,-0.035091381109103
3.6001434320092436,-0.44721262072762175,-1.7991561280238328,0.031307565460805764,-0.0442649062603943
3.7001474162317223,-0.27155602528522516,-1.8718874372192116,0.03210031671188223,-0.05299611588617597
3.8001514004542014,-0.09037745968194703,-1.9280533433893565,0.03297029747314191,-0.061197763680057096
3.9001553846766805,0.0946740505251561,-1.9668438043947067,0.033918550298569126,-0.06878789496370502
4.000159368899159,0.2818838969231076,-1.9876024088169977,0.034945472002784216,-0.07569066561609833
4.100163353121638,0.4694871383527363,-1.989835343676208,0.03605057173074342,-0.0818370999432499
4.2001673373441175,0.655684532641279,-1.973218962460624,0.037232185917471024,-0.08716577991541338
4.300171321566596,0.8386592164200847,-1.9376058528842237,0.03848714991383056,-0.0916234588845941
4.400175305789075,1.016593890522464,-1.88302931570001,0.03981042966391367,-0.09516559364981458
4.5001792900115545,1.1876883602205324,-1.8097061789216269,0.04119472200818555,-0.09775678955349022
4.600183274234033,1.3501772719880918,-1.7180378858902003,0.04263003916690374,-0.09937115416130538
4.700187258456512,1.5023478814849622,-1.608609810727412,0.04410330177061733,-0.09999255599145665
4.800191242678991,1.6425576809698375,-1.4821887708054122,0.045597975183023005,-0.0996147857079197
4.90019522690147,1.7692517083331918,-1.339718722910435,0.04709379507572344,-0.09824161816702208
5.000199211123949,1.8809793544692626,-1.1823146477491253,0.0485666389109959,-0.0958867746973235
5.100203195346428,1.9764104810158682,-1.011254646298152,0.04998860808200434,-0.09257378598972084
5.200207179568907,2.0543506570619776,-0.8279702911455374,0.05132838814724264,-0.08833575696784347
5.300211163791386,2.1137553220319742,-0.6340352962685646,0.05255194858753914,-0.0832150359882633
5.400215148013865,2.153742683693338,-0.4311525893930854,0.05362362556391564,-0.0772627916760248
5.500219132236344,2.1736051664494997,-0.22113989180831867,0.0545075989316534,-0.07053850162395167
5.600223116458823,2.1728192372169817,-0.005913930745285043,0.055169727996889975,-0.06310935806488324
5.700227100681302,2.1510534555054615,0.2125265715087307,0.05557965216549532,-0.05504959645564124
5.800231084903781,2.1081746215096446,0.4321189704834545,0.055712999804548136,-0.04643975368182776
5.90023506912626,2.044251930773945,0.6507556587959795,0.055553492463126325,-0.03736586329581608
6.000239053348739,1.959559084648593,0.8663037254516703,0.055094695940380765,-0.027918595829491896
