time,M,FC,FN,vs
0.0,0.5,0.5,0.5,1.6
0.10000398422247898,0.6311250700891722,0.4257520960585135,0.4932716520917097,1.7497560714459965
0.20000796844495797,0.774238063153416,0.36518571177562864,0.48366754432469244,1.8980157105930016
0.30001195266743697,0.9297777932714029,0.31809587431568037,0.4720149550418594,2.0432974381893616
0.40001593688991594,1.097919029173945,0.2840194219317833,0.45907708242723405,2.184149531660296
0.5000199211123949,1.2785782107310226,0.26218431054797153,0.4455426376715532,2.3191645313948843
0.6000239053348739,1.4714276562960267,0.2515651020721715,0.4320160914611718,2.4469933047369317
0.7000278895573528,1.6759165485759788,0.2510346445788444,0.4190137190608933,2.566358527145787
0.8000318737798319,1.8912956254325848,0.2595436609654033,0.406968261061857,2.6760674458170786
0.9000358580023109,2.116642595801464,0.27625267508640944,0.39624110049035727,2.7750237982233372
1.0000398422247898,2.3508862403134416,0.3005835608443571,0.38713818783493104,2.8622387664789084
1.1000438264472687,2.5928282222435795,0.3322034912074769,0.3799257732124106,2.9368408580680443
1.2000478106697479,2.841162386216004,0.37097196742291777,0.374843413323987,2.9980846142033415
1.3000517948922268,3.094491674907853,0.41687707550300007,0.3721133028387399,3.0453580587965683
1.4000557791147057,3.351342856276053,0.46997597990912093,0.37194603288209965,3.0781888136082936
1.5000597633371848,3.6101791636125244,0.5303458162240602,0.37454336881399236,3.0962488184708983
1.6000637475596637,3.8694108090555708,0.5980461831056338,0.3800987684132855,3.099357609418311
1.7000677317821427,4.127403203275187,0.673092197247345,0.38879631495699635,3.0874841219658693
1.8000717160046218,4.382482652328302,0.7554362751093684,0.4008086266469283,3.0607470015210954
1.9000757002271007,4.632939369539616,0.8449566662302501,0.4162941769143127,3.019413417823614
2.0000796844495796,4.877027924806331,0.9414509147481885,0.4353943419350153,2.9638963952608894
2.1000836686720588,5.112965879290291,1.0446327098949109,0.4582303913755323,2.8947506857364975
2.2000876528945374,5.338932466928317,1.154130939934372,0.4849005595545218,2.8126672253311593
2.3000916371170166,5.553070906895362,1.269490169682294,0.5154772784121534,2.7184662301481506
2.4000956213394957,5.753500238781706,1.390172224434889,0.5500046221775527,2.613089000332621
2.5000996055619744,5.93834507147915,1.5155590910956778,0.5884960080049527,2.497588514162858
2.6001035897844536,6.105793256857048,1.6449579224943098,0.6309322185136621,2.373118906201718
2.7001075740069327,6.254190276048562,1.7776094676115097,0.6772598600833449,2.2409239346474332
2.8001115582294114,6.382172537196531,1.912701556773167,0.7273904372960948,2.1023245531233736
2.9001155424518905,6.488828269585282,2.0493890559011088,0.7812002899545002,1.958705711095227
3.0001195266743697,6.573856429726291,2.186820692145326,0.8385316721424091,1.8115025148119728
3.1001235108968483,6.63767907926255,2.3241713270427833,0.8991952140258886,1.662185887056949
3.2001274951193275,6.681462796236885,2.4606760985680283,0.9629738707869512,1.5122478690034555
3.3001314793418066,6.707026775902421,2.595661327685232,1.0296282412074869,1.3631867110455869
3.4001354635642853,6.716652486781728,2.7285671220984375,1.0989028909470107,1.2164919015836435
3.5001394477867644,6.71284271716934,2.858958425068703,1.1705331290845857,1.073629283363455
3.6001434320092436,6.698088755445201,2.986524085247368,1.244251628484407,0.9360264060940855
3.7001474162317223,6.674690656038501,3.1110661119057954,1.3197943622407038,0.8050582617073605
3.8001514004542014,6.644649227753581,3.232482704882305,1.3969055047690537,0.6820335447991437
3.9001553846766805,6.609624723941456,3.3507487482509983,1.4753411479828087,0.5681815755444246
4.000159368899159,6.570944325659402,3.465896662358546,1.5548718536551884,0.46464001575852515
4.100163353121638,6.529638130338154,3.5779994063304295,1.6352841755049394,0.3724435008512515
4.2001673373441175,6.486487133728363,3.6871564349816017,1.7163813385278335,0.2925133012687994
4.300171321566596,6.442072335769872,3.7934827200571513,1.7979832728916572,0.22564811673108862
4.400175305789075,6.396819103898614,3.8971005507156997,1.8799261827873655,0.17251609525278122
4.5001792900115545,6.351034429443366,3.9981336587009566,1.9620618014020008,0.13364815669764668
4.600183274234033,6.304936779497054,4.096703184458206,2.0442564511872474,0.10943268758041942
4.700187258456512,6.258679269453653,4.192925043966543,2.126389999058574,0.10011166012815026
4.800191242678991,6.212367260197804,4.286908328284879,2.2083547712906966,0.10577821438120463
4.90019522690147,6.166071516747319,4.378754444124754,2.2900544731284644,0.12637572749466894
5.000199211123949,6.119837940395455,4.46855677247638,2.3714031430816704,0.16169837954014757
5.100203195346428,6.073694709643061,4.556400679269762,2.4523241607516186,0.21139321015418738
5.200207179568907,6.027657488921795,4.642363756966063,2.5327493190298354,0.2749636454823479
5.300211163791386,5.981733210303894,4.726516210253426,2.612617965879953,0.3517744601760505
5.400215148013865,5.935922808226461,4.808921324597839,2.6918762170545354,0.44105812485962803
5.500219132236344,5.890223189513395,4.889635975169182,2.770476238531394,0.5419224756407249
5.600223116458823,5.844628646613524,4.96871114726101,2.848375595814407,0.6533596290267515
5.700227100681302,5.799131866351811,5.0461924490686085,2.9255366662605864,0.7742560531653816
5.800231084903781,5.753724645352066,5.122120604605687,3.0019261100692542,0.9034036947725836
5.90023506912626,5.708398393085568,5.196531919397177,3.07751439535636,1.0395120505627589
6.000239053348739,5.663144481427313,5.269458714957016,3.1522753727339015,1.1812210625576218
6.100243037571218,5.617954483516459,5.340929730365818,3.2261858949475757,1.3271147084179096
6.200247021793697,5.5728203330132615,5.41097049081009,3.2992254773434784,1.4757351509970231
6.300251006016176,5.527734426333469,5.479603643953229,3.371375995200758,1.6255973057276514
6.400254990238655,5.482689684251776,5.546849265638735,3.442621414256906,1.7752036802772935
