,number,value,datetime_start,datetime_complete,duration,params_iss,params_lr,params_ridge,params_sr,state
0,0,45.475145206914625,2023-12-24 23:57:17.896973,2023-12-25 01:22:32.748646,0 days 01:25:14.851673,0.11482181960020565,0.02317439245652087,0.0012320059300539002,6.104503038738361,COMPLETE
1,1,0.008769854509946896,2023-12-24 23:57:32.312253,2023-12-25 01:23:56.903499,0 days 01:26:24.591246,0.7089414581452472,0.6231532573568914,1.549992345923218e-06,0.026776336578254338,COMPLETE
2,2,0.09414907857970746,2023-12-24 23:57:34.625741,2023-12-25 01:25:12.670598,0 days 01:27:38.044857,0.5714723862560647,0.33358359637371154,0.002633856325860211,8.439926081254999,COMPLETE
3,3,0.04829875191601679,2023-12-24 23:57:40.691237,2023-12-25 01:24:46.815559,0 days 01:27:06.124322,0.9856194484853851,0.0024794811660597757,0.00016557705379321565,0.012676435139710904,COMPLETE
4,4,1.9897290786276567,2023-12-24 23:57:41.436010,2023-12-25 01:23:59.184634,0 days 01:26:17.748624,0.6437611766348134,0.009127838827090706,0.00020405674186858822,1.539547498611977,COMPLETE
5,5,0.01101816274134107,2023-12-24 23:57:41.430842,2023-12-25 01:24:38.657410,0 days 01:26:57.226568,0.3270405342472148,0.12186928624148285,0.001614247256142653,0.10748131393836374,COMPLETE
6,6,0.01728803652372606,2023-12-24 23:57:44.959979,2023-12-25 01:23:24.554117,0 days 01:25:39.594138,0.63386232164955,0.03907960217256407,2.8982176838784103e-05,0.08124109302842022,COMPLETE
7,7,4513.40829764401,2023-12-24 23:57:48.385312,2023-12-25 01:25:43.316270,0 days 01:27:54.930958,0.8910768948525858,0.0019302085805697092,1.2529111579363609e-08,2.475795317944519,COMPLETE
8,8,0.15006826625089772,2023-12-24 23:57:49.692029,2023-12-25 01:24:30.339642,0 days 01:26:40.647613,0.6163309445620673,0.007681614018330233,0.0018663974602881174,1.3954499086071745,COMPLETE
9,9,123.3084081370265,2023-12-24 23:58:01.980308,2023-12-25 01:24:19.937521,0 days 01:26:17.957213,0.8840753206365428,0.005781905908681167,7.913349777198234e-05,4.92792455233575,COMPLETE
10,10,0.024411159344431013,2023-12-24 23:58:03.410273,2023-12-25 01:24:03.183540,0 days 01:25:59.773267,0.3535662718383873,0.009579375424633031,1.8451723779526798e-06,0.09739571273546171,COMPLETE
11,11,0.028748838486108985,2023-12-24 23:58:04.415043,2023-12-25 01:23:57.694683,0 days 01:25:53.279640,0.2406362432018554,0.014328484159870543,0.0018904172209489882,0.06966383777119262,COMPLETE
12,12,0.013022989564403828,2023-12-24 23:58:04.983639,2023-12-25 01:24:07.051654,0 days 01:26:02.068015,0.6804526905013506,0.2747168995748242,2.2905385855399852e-08,0.18082543421452926,COMPLETE
13,13,0.013156075099204459,2023-12-24 23:57:54.652822,2023-12-25 01:25:21.004596,0 days 01:27:26.351774,0.19770242548446249,0.05372937490013308,5.596204884818402e-08,0.037441514003081953,COMPLETE
14,14,0.008672290073648512,2023-12-24 23:58:16.396346,2023-12-25 01:25:08.610989,0 days 01:26:52.214643,0.3107809124544556,0.6651494949455566,0.00029582693087279216,0.7324602354000883,COMPLETE
15,15,0.03176897921504073,2023-12-24 23:57:48.692829,2023-12-25 01:24:47.050661,0 days 01:26:58.357832,0.04079247435246702,0.014689847925762686,9.329339084433747e-05,0.15231805410380111,COMPLETE
16,16,0.029937795766903762,2023-12-24 23:58:17.399120,2023-12-25 01:24:54.901406,0 days 01:26:37.502286,0.8727398978985903,0.00821664990614549,2.5155645991486095e-08,0.047063448804914663,COMPLETE
17,17,0.024219463739042903,2023-12-24 23:58:08.422359,2023-12-25 01:25:09.695729,0 days 01:27:01.273370,0.6448662186853386,0.010591454116456182,0.00011207401883782907,0.45729173221572395,COMPLETE
