X,Y,x_lorenz,y_lorenz,z_lorenz
1.0,0.0,1.0,1.0,1.0
1.0009560909793918,0.03786516677728927,2.1332008135700065,4.471630865333731,1.1139250537160532
1.0157882216467742,0.33068769131735265,6.543100461462824,13.732319271598792,4.180824519904901
1.0910863181924515,1.3434563066271774,16.686069021087107,27.183524856768713,26.211046717832815
1.308966741318886,2.959766732918292,15.363926902046895,1.1084268218529385,46.756125786790115
1.632912849584925,3.215064309342768,1.1962695849243692,-8.8671237710962,32.452803458956865
1.909505206301513,2.2055194916977987,-4.833983129243617,-8.061239278495622,26.672417526738712
2.066197313103776,0.9364933415567153,-7.049833644013522,-8.747853657025669,24.889946135223205
2.102306925657172,-0.17964914811632476,-8.635974951781701,-10.095967806414126,25.647321684344412
2.0369137849364525,-1.0974340607158688,-9.692369874701457,-10.157410230924844,28.03119056317497
1.8887138199353224,-1.8375818166170024,-9.378164673162692,-8.356191432805522,29.362332731352364
1.6745820761641508,-2.4250419326528707,-8.07804431820676,-6.7698344504955115,28.182529553726503
1.4054022564672008,-2.9634435852490992,-7.173208239697094,-6.783790439786138,25.975005010496606
1.0777671165159586,-3.625129028383627,-7.362440129375174,-8.100667207752078,24.55397513514384
0.6701504967720893,-4.591056891852473,-8.485554040070046,-9.850510860525425,25.08204894022344
0.14539024687904176,-5.971453109920122,-9.672780030752618,-10.431603724867522,27.519078319631028
-0.5319705187468093,-7.559109045553424,-9.643364735681345,-8.807175796474983,29.441429719278318
-1.3431512863542687,-8.424578082163718,-8.345288379617205,-6.872169336885801,28.66933009008787
-2.149142123582546,-7.324187206827018,-7.198623136349688,-6.5365449944933225,26.37427680445171
-2.755864121258197,-4.722653540797671,-7.146755470147574,-7.695854616094572,24.57251224178073
-3.1084886038150223,-2.5037824985951262,-8.174605069766127,-9.563463344732817,24.621693340207727
-3.293644457912496,-1.3583838133276824,-9.541874603461283,-10.628527369167667,26.90810050842739
-3.402801468816074,-0.8930882047115001,-9.87063128173575,-9.327287356385566,29.380533723327037
-3.479430667076404,-0.6536692824000994,-8.66567807138965,-7.0812008472510595,29.157671830929075
-3.5350592108423076,-0.46640829234705405,-7.288274201878508,-6.332313011751607,26.862753676191065
-3.575006447002843,-0.34760997565720453,-6.959882683723461,-7.274027450218821,24.701599227868027
-3.6079356206025763,-0.32774525959894857,-7.836000448429324,-9.181761629440782,24.228030148598897
-3.6434201133579895,-0.3917904038934304,-9.322938374297976,-10.703831792852172,26.203616680399286
-3.6867503770123764,-0.46793047727881554,-10.04155007207407,-9.887390455971877,29.136344822780433
-3.73405677376483,-0.45925287239035345,-9.034923843367542,-7.418483820646,29.613195430940817
-3.7755196631807593,-0.3619822079798034,-7.455144838168816,-6.190750722819855,27.438579656517646
