Time,X,Y,Z,External_Force
0.0,0.0,0.0,0.0,0.0
0.10000398422247898,0.004158401286907533,0.00013814850411446918,0.015246368188202184,0.09983738096399775
0.20000796844495797,0.01704797970582453,0.0011344890298104352,0.023888083701508293,0.19867714039533443
0.30001195266743697,0.03888893096372215,0.003903702922077212,0.028812369975537298,0.2955316254595743
0.40001593688991594,0.06949231130306063,0.009379305027857244,0.031665306416692296,0.38943302110686406
0.5000199211123949,0.10835624074956685,0.018477630620725445,0.033378401126406915,0.4794430209299229
0.6000239053348739,0.1547243544465013,0.03207080119695485,0.03446686848762247,0.5646622031579546
0.7000278895573528,0.20763029188995522,0.05096034432463412,0.03521833351570273,0.6442390180971913
0.8000318737798319,0.26593105754837437,0.07585659289724761,0.03581653624345323,0.7173782972113855
0.9000358580023109,0.3283198886024741,0.1073635923730892,0.036319377811329254,0.7833491988155579
1.0000398422247898,0.39337142704009825,0.1459545695843357,0.036796053412193844,0.8414925109859389
1.1000438264472687,0.45954777945067316,0.19196468919310083,0.037271388167021954,0.8912272387120294
1.2000478106697479,0.5252241349248647,0.24557996193557152,0.03774001262770379,0.9320564094688941
1.3000517948922268,0.5887323107080604,0.30681810755866323,0.03820547067725919,0.9635720391977122
1.4000557791147057,0.6483733979092399,0.3755259010711686,0.03866965139241253,0.9854592090721956
1.5000597633371848,0.7024379163927145,0.451376411130881,0.03911476829328409,0.997499212313932
1.6000637475596637,0.749226792171755,0.5338682174125758,0.03954359070571436,0.999571739612207
1.7000677317821427,0.7871229685284404,0.6223233474319099,0.03994859606342474,0.9916560813105795
1.8000717160046218,0.8145956086260363,0.7158871132923776,0.04030885449601092,0.9738313343473967
1.9000757002271007,0.8302008012783577,0.8135285502836013,0.04059005915655785,0.9462756118824092
2.0000796844495796,0.8326363435570545,0.9140682961528881,0.04076615195912251,0.9092642635072595
2.1000836686720588,0.8207482054784885,1.0161661529044894,0.040854393459765215,0.8631671238243316
2.2000876528945374,0.7935708013071527,1.1183559990770249,0.04086181435044078,0.8084448168874393
2.3000916371170166,0.7503575831574789,1.219067745056925,0.04077461661213146,0.7456441534321002
2.4000956213394957,0.6905810409938372,1.3166273330784288,0.040558173514847,0.6753926668884139
2.5000996055619744,0.6139424660288438,1.4092767809720503,0.040172792872161946,0.5983923427752385
2.6001035897844536,0.5204012923753846,1.4952089598352862,0.03965376538406054,0.5154126041344785
2.7001075740069327,0.4101685166132137,1.572566730064544,0.039041412362986104,0.42728262309828885
2.8001115582294114,0.283729801595185,1.6395230055928498,0.038350129580561915,0.3348830354155824
2.9001155424518905,0.14184673785357937,1.694284156477862,0.03756892179102997,0.23913714073015122
3.0001195266743697,-0.014444256423095839,1.735092386859257,0.036664192845706677,0.14100167654131504
3.1001235108968483,-0.18384686784310036,1.7602709631275317,0.035667298055919804,0.041457258037966085
3.2001274951193275,-0.36479797627734356,1.768241954727795,0.03465470657123825,-0.058501420664363035
3.3001314793418066,-0.5554971012672805,1.7575837534422256,0.03364938893704584,-0.1578755259696088
3.4001354635642853,-0.7539142884333183,1.7270457565445594,0.03262047178425652,-0.2556720656109044
3.5001394477867644,-0.9578010776174901,1.675559779110321,0.03155759197474073,-0.35091381109103
3.6001434320092436,-1.1647014941013665,1.602261200441724,0.03055403972177429,-0.442649062603943
3.7001474162317223,-1.3720118726375892,1.5065356054201688,0.029629331743800256,-0.5299611588617597
3.8001514004542014,-1.577001558446486,1.3880328441731713,0.02870932331507645,-0.6119776368005709
3.9001553846766805,-1.7768170975898339,1.2466695591100134,0.027812825354613702,-0.6878789496370502
4.000159368899159,-1.968515660058678,1.082645905190308,0.027052298506514513,-0.7569066561609832
4.100163353121638,-2.1491518277455395,0.8964743197171487,0.02639403485347283,-0.818370999432499
4.2001673373441175,-2.31578616248387,0.6889796860634925,0.02571250818082218,-0.8716577991541338
4.300171321566596,-2.4654827743826284,0.4612904552338078,0.025121151101576165,-0.9162345888459409
4.400175305789075,-2.5953979178165762,0.2148503023305277,0.02467345519855963,-0.9516559364981458
4.5001792900115545,-2.7028347938139587,-0.04858209041376689,0.02426775019092094,-0.9775678955349022
4.600183274234033,-2.7852362561797,-0.3269480334403401,0.023906517748683662,-0.9937115416130538
4.700187258456512,-2.840229910580916,-0.61789942224829,0.0236676620775545,-0.9999255599145664
4.800191242678991,-2.8657078825156814,-0.918816142896858,0.02351537791459003,-0.996147857079197
4.90019522690147,-2.859833720788669,-1.2268232174467868,0.023412465863081773,-0.9824161816702207
5.000199211123949,-2.8210555485983355,-1.538810894070981,0.023413082711441328,-0.958867746973235
5.100203195346428,-2.748179150593547,-1.851476956982343,0.02351914407722454,-0.9257378598972084
5.200207179568907,-2.640388067194494,-2.1613511658731976,0.023700934980314635,-0.8833575696784347
5.300211163791386,-2.4972427001694455,-2.4648218543048936,0.023979467582346328,-0.832150359882633
5.400215148013865,-2.3187067253105247,-2.758169277449823,0.024376839153246902,-0.772627916760248
5.500219132236344,-2.10519243071292,-3.037644321854725,0.024897375744637632,-0.7053850162395167
5.600223116458823,-1.8575630254168118,-3.2994813432987455,0.02553033324147112,-0.6310935806488324
5.700227100681302,-1.5771172661783552,-3.539943755386269,0.02628602343687593,-0.5504959645564124
5.800231084903781,-1.2655858081506075,-3.7553330073091287,0.027221088111072333,-0.4643975368182776
5.90023506912626,-0.9251528876889981,-3.942117834837979,0.02836380627925941,-0.37365863295816076
6.000239053348739,-0.5584579258421096,-4.09695268440463,0.029706481812437166,-0.27918595829491893
