X,Y,sin
0.0,0.0,0.0
0.004158449493259887,0.00013814009793533988,0.09983738096399775
0.017047333963289692,0.001134609697676034,0.19867714039533443
0.0388885812565183,0.0039038166218989183,0.2955316254595743
0.06949245072372112,0.009379283414932157,0.38943302110686406
0.10835601028592647,0.018477823326527903,0.4794430209299229
0.15472425531181383,0.032070870793208174,0.5646622031579546
0.20763111881636914,0.05096028642606102,0.6442390180971913
0.2659301913388687,0.07585723674125963,0.7173782972113855
0.3283206656927991,0.10736347600494232,0.7833491988155579
0.39337153578190526,0.14595476448104738,0.8414925109859389
0.4595456448740864,0.19196637919796275,0.8912272387120294
0.5252243512472384,0.24558078816205653,0.9320564094688941
0.5887330995142691,0.3068176116282681,0.9635720391977122
0.6483679054800343,0.37552601029383975,0.9854592090721956
0.7024225961894478,0.4513796348167234,0.997499212313932
0.7492165468404902,0.5338742523283185,0.999571739612207
0.7871225955082555,0.6223281385423806,0.9916560813105795
0.8145947802150851,0.7158852916284272,0.9738313343473967
0.8301955226356587,0.8135214881142524,0.9462756118824092
0.8326218742966542,0.9140531630286955,0.9092642635072595
0.8207304422551969,1.0161490573164005,0.8631671238243316
0.7935606207307286,1.1183445361274262,0.8084448168874393
0.7503557722923795,1.219058442707571,0.7456441534321002
0.6905820263101086,1.3166123150401778,0.6753926668884139
0.6139443926344681,1.4092517568087322,0.5983923427752385
0.5203999237599845,1.4951697212695205,0.5154126041344785
0.41016769764635536,1.572531436737529,0.42728262309828885
0.28373543434597503,1.6395006759470583,0.3348830354155824
0.14186260108748094,1.6942670487499611,0.23913714073015122
-0.014420098726536545,1.7350739785207672,0.14100167654131504
-0.18381491770832176,1.760247007214757,0.041457258037966085
-0.36476496488821,1.768222062202537,-0.058501420664363035
-0.5554658040241526,1.7575733097444173,-0.1578755259696088
-0.7538807018625494,1.727040215318109,-0.2556720656109044
-0.9577594393208378,1.675553430135436,-0.35091381109103
-1.1646605572444733,1.6022591263433459,-0.442649062603943
-1.3719768646009356,1.5065414109269264,-0.5299611588617597
-1.5769639911834195,1.3880424605372963,-0.6119776368005709
-1.776771720203449,1.2466800366010882,-0.6878789496370502
