,number,value,datetime_start,datetime_complete,duration,params_iss,params_lr,params_ridge,params_sr,state
0,0,0.0008159376186780329,2023-12-26 01:07:16.792170,2023-12-26 02:11:24.604097,0 days 01:04:07.811927,0.03212918638944451,0.05154111098948326,3.16046455019728e-05,0.05855535783091063,COMPLETE
1,1,0.0038008415322915677,2023-12-26 01:07:16.798029,2023-12-26 02:09:45.178376,0 days 01:02:28.380347,0.14379469591265526,0.004109424336284936,9.17248043397541e-05,0.04648642113789076,COMPLETE
2,2,0.001317018853979222,2023-12-26 01:07:16.816490,2023-12-26 02:12:29.107719,0 days 01:05:12.291229,0.30123718330318805,0.017647029037742033,1.762409727235365e-07,0.03486530687998121,COMPLETE
3,3,2.391172538874765,2023-12-26 01:07:16.819325,2023-12-26 02:12:03.080496,0 days 01:04:46.261171,0.67266717268236,0.0017491162909721548,9.000314383657668e-05,1.6446952672160935,COMPLETE
4,4,0.001319169982294842,2023-12-26 01:07:16.950242,2023-12-26 02:14:21.237906,0 days 01:07:04.287664,0.7998483917436402,0.028656788271599894,6.0764958423030883e-05,0.021545408973813882,COMPLETE
5,5,0.32229732613351203,2023-12-26 01:07:16.958021,2023-12-26 02:11:53.357233,0 days 01:04:36.399212,0.041130906340946516,0.09050650447160592,0.00025337302991125456,3.4232639221804853,COMPLETE
6,6,0.0008730934214383748,2023-12-26 01:07:16.965785,2023-12-26 02:11:36.285778,0 days 01:04:19.319993,0.7985340048126985,0.07851656603641545,2.215146064589842e-05,0.027049948402691936,COMPLETE
7,7,0.002395097482266867,2023-12-26 01:07:16.944112,2023-12-26 02:11:15.049205,0 days 01:03:58.105093,0.12376259057392291,0.00969904674610154,9.310864903033416e-05,0.010431389219909546,COMPLETE
8,8,0.0030137064384733315,2023-12-26 01:07:17.015172,2023-12-26 02:12:34.519906,0 days 01:05:17.504734,0.7037446115018468,0.004440765547011998,0.00024247642365877572,0.11423777370805226,COMPLETE
9,9,0.002383779139698224,2023-12-26 01:07:17.019006,2023-12-26 02:10:23.418035,0 days 01:03:06.399029,0.39873467044648003,0.007768483293925015,1.3509540280532497e-06,0.01377231563128567,COMPLETE
10,10,0.06832103129283536,2023-12-26 01:07:17.043506,2023-12-26 02:12:43.808049,0 days 01:05:26.764543,0.43744766411786606,0.1369809445739341,3.214915017856917e-08,3.4784164905421378,COMPLETE
11,11,0.002428005003800994,2023-12-26 01:07:16.986591,2023-12-26 02:13:04.443813,0 days 01:05:47.457222,0.5104007617951359,0.0035979005635891153,1.6956211193060668e-05,0.6389891595222091,COMPLETE
12,12,0.0010704980147338056,2023-12-26 01:07:17.078711,2023-12-26 02:11:17.937182,0 days 01:04:00.858471,0.08376375349216547,0.00923137266719349,2.41772524625249e-07,0.5929128530407447,COMPLETE
13,13,222.93617999703926,2023-12-26 01:07:17.072699,2023-12-26 02:11:18.149127,0 days 01:04:01.076428,0.24575292306093632,0.001010759912389133,1.5284950691939036e-08,6.297442955097073,COMPLETE
14,14,0.003672078669639299,2023-12-26 01:07:16.954486,2023-12-26 02:10:06.118158,0 days 01:02:49.163672,0.11717741133295045,0.002355529967532004,3.0173494730157e-09,0.054722141175730425,COMPLETE
15,15,0.0010181918020515065,2023-12-26 01:07:17.117458,2023-12-26 02:11:14.997861,0 days 01:03:57.880403,0.08147211027779144,0.015924540664538023,5.902237578519897e-06,0.28894741586786904,COMPLETE
16,16,0.07616816744275624,2023-12-26 01:07:17.126728,2023-12-26 02:12:45.572104,0 days 01:05:28.445376,0.12894366163735038,0.4643570258182914,1.0129807039856748e-08,2.448934504914839,COMPLETE
17,17,0.2725608073416954,2023-12-26 01:07:17.184897,2023-12-26 02:11:46.685871,0 days 01:04:29.500974,0.13249962991099073,0.06895635552582456,0.0012424340734772104,3.82588482843075,COMPLETE
18,18,0.001678477846738839,2023-12-26 01:07:17.258026,2023-12-26 02:09:32.849908,0 days 01:02:15.591882,0.4758286769442558,0.06763076877459906,3.3939544469601675e-09,0.45714450786971844,COMPLETE
19,19,0.0009283125639934074,2023-12-26 01:07:17.268922,2023-12-26 02:12:57.519114,0 days 01:05:40.250192,0.41296606407765724,0.04439533247722304,0.004441429838852119,0.02711463592018414,COMPLETE
20,20,0.06241551369045448,2023-12-26 01:07:17.046161,2023-12-26 02:12:50.051177,0 days 01:05:33.005016,0.22655816693959874,0.5301786623007689,1.3758015576164685e-08,3.4964580766250224,COMPLETE
21,21,0.0003933845389627083,2023-12-26 01:07:16.837640,2023-12-26 02:13:04.380018,0 days 01:05:47.542378,0.49960575808159835,0.27827783336289286,0.005976065752602143,0.3941369915197142,COMPLETE
22,22,0.0005161604393342464,2023-12-26 01:07:17.371300,2023-12-26 02:12:25.597777,0 days 01:05:08.226477,0.5145956750786981,0.18597150629680317,2.9900932291448757e-09,0.07175501351533227,COMPLETE
23,23,0.0005621545593315182,2023-12-26 01:07:17.384643,2023-12-26 02:12:37.797746,0 days 01:05:20.413103,0.5931913218803101,0.09406580143364983,1.3814608038702627e-06,0.09414838047003951,COMPLETE
24,24,0.2859992364893857,2023-12-26 01:07:17.455467,2023-12-26 02:10:39.799356,0 days 01:03:22.343889,0.9947256509533666,0.017351454984623926,0.0037919720255910143,9.203093037697618,COMPLETE
25,25,0.1627956353014207,2023-12-26 01:07:16.994006,2023-12-26 02:11:01.218539,0 days 01:03:44.224533,0.26079872428089135,0.1613087133512518,4.4974521407679135e-08,6.490322907483644,COMPLETE
