time,x,y,z,P_shifted
635.9253356707438,-0.6964159426254153,1.4954786463838294,0.03279669620769493,-0.5458306428113311
636.0253396549664,-0.9109536379131552,1.4446616852441847,0.031795519335379274,-0.7351982664563605
636.1253436391888,-1.1377403956209644,1.3705050545986817,0.03076526310569702,-0.9172194471725869
636.2253476234113,-1.373534302250529,1.2714603290543114,0.02973024335489438,-1.090075344686882
636.3253516076338,-1.6147787641177838,1.1462914480449062,0.028712461533232325,-1.2520387024974748
636.4253555918563,-1.857645332106551,0.9941107008954685,0.027730861022992333,-1.401491107423547
636.5253595760787,-2.098081556468458,0.814410856086654,0.02680099363805508,-1.5369391615433632
636.6253635603013,-2.3318633797289365,0.6070928728502244,0.02593504781374569,-1.6570294049200804
636.7253675445237,-2.5546514991146823,0.37248867543543135,0.025142152118560978,-1.760561840002426
636.8253715287461,-2.762051056708709,0.11137852104800451,0.02442885485511853,-1.84650192255902
636.9253755129687,-2.9496739490723907,-0.17499744876141016,0.023799688394515385,-1.9139908993248766
637.0253794971911,-3.1132029909695684,-0.484933817272242,0.023257747522313573,-1.9623543890631883
637.1253834814136,-3.2484571217283986,-0.8162609335691184,0.022805236195049802,-1.9911091212966754
637.2253874656361,-3.351456808502486,-1.166352578230861,0.022443960506889994,-1.9999677653705756
637.3253914498586,-3.4184887784747224,-1.5321403639045312,0.022175764048084703,-1.9888418015942182
637.425395434081,-3.4461692017527943,-1.910134894872242,0.022002914458899424,-1.9578424057709933
637.5253994183036,-3.4315044481163883,-2.2964536214548237,0.021928457745756514,-1.9072793382778988
637.625403402526,-3.3719485536730045,-2.6868552357941375,0.02195656144990363,-1.8376578487960948
637.7254073867484,-3.26545655765848,-3.0767803663117714,0.022092870744540687,-1.7496736276208158
637.825411370971,-3.110532904930394,-3.461398240085704,0.022344904473466348,-1.644205854000539
637.9254153551934,-2.906274155983614,-3.8356588966963048,0.02272252227987548,-1.5223084109695886
638.0254193394159,-2.652405303388405,-4.194350454879137,0.023238500436741943,-1.3851993544581047
638.1254233236384,-2.349309061233797,-4.532160855735905,0.02390926399173912,-1.2342487419111043
638.2254273078609,-1.9980475722419309,-4.843743434487332,0.02475583791933686,-1.070964942038036
638.3254312920834,-1.6003760655697647,-5.123785607926121,0.0258051022956592,-0.8969795624900465
638.4254352763058,-1.1587480969423782,-5.367079908021763,0.027091469257742914,-0.7140311460791432
638.5254392605283,-0.6763121118588771,-5.5685965447957155,0.028659147416648316,-0.5239477984486847
638.6254432447508,-0.15689919294991003,-5.723556644833979,0.030565229546055325,-0.32862892079232114
638.7254472289733,0.39499801451634625,-5.827505287115147,0.03288394233098774,-0.13002623015478926
638.8254512131957,0.974255056884987,-5.876383446790451,0.0357125484043362,0.06987574303363239
638.9254551974183,1.5751537964635864,-5.86659796218138,0.03917961379572232,0.2690794853072864
